url,response,exception
instagram.com/p/C8JNgD7IPDx,"{""reel_url"": ""https://www.instagram.com/p/C8JNgD7IPDx"", ""fashion"": {""Kids Dresses"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Hats"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JLydZvFBE,"{""reel_url"": ""https://www.instagram.com/p/C8JLydZvFBE"", ""fashion"": {""Kids T-shirts"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Shorts"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Socks"": {""colors"": [""Yellow""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JLQG3C6OR,"{""reel_url"": ""https://www.instagram.com/p/C8JLQG3C6OR"", ""fashion"": {""Kids Dresses"": {""colors"": [""Brown"", ""Beige"", ""Black""], ""patterns"": [""Animal""], ""brands"": [""Zara""]}, ""Kids Sunglasses"": {""colors"": [], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JLOUatTLz,"{""reel_url"": ""https://www.instagram.com/p/C8JLOUatTLz"", ""fashion"": {""Kids Dresses"": {""brands"": [""Zara""], ""colors"": [""Pink"", ""Beige"", ""Peach"", ""Aqua""], ""patterns"": [""Floral""]}, ""Kids Shoes"": {""brands"": [""Zara""], ""colors"": [""Pink""], ""patterns"": []}, ""Kids Headbands"": {""brands"": [], ""colors"": [""Pink"", ""Peach""], ""patterns"": []}, ""Kids Sunglasses"": {""brands"": [], ""colors"": [""Pink""], ""patterns"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JKlHsv_y4,Error: 'data'
instagram.com/p/C7q9R9QoS1d,"{""reel_url"": ""https://www.instagram.com/p/C7q9R9QoS1d"", ""fashion"": {""Kids Dresses"": {""colors"": [""White"", ""Black""], ""patterns"": [""Polka""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8I70jEoWOT,"{""reel_url"": ""https://www.instagram.com/p/C8I70jEoWOT"", ""brands"": [""Zara Kids""], ""verticals"": {""fashion"": {""Kids Tops"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": [""Zara Kids""]}, ""Kids Shorts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": [""Zara Kids""]}, ""Kids Shoes"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": [""Zara Kids""]}}}, ""comment"": """", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8IxV29SclN,"{""reel_url"": ""https://www.instagram.com/p/C8IxV29SclN"", ""fashion"": {""Kids Dresses"": {""colors"": [""Olive""], ""patterns"": [], ""brands"": [""H&M Kids""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8IwN3yIKNu,"{""reel_url"": ""https://www.instagram.com/p/C8IwN3yIKNu"", ""brands"": [""H&M""], ""verticals"": {""fashion"": {}}, ""comment"": ""\n\nPlease note that a real clothing item with discernible color or pattern would result in a more detailed analysis within the parameters of the described task."", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8IwNI3IuXo,"{""reel_url"": ""https://www.instagram.com/p/C8IwNI3IuXo"", ""classification"": ""others""}"
instagram.com/p/C8IRtpYIVOY,"{""reel_url"": ""https://www.instagram.com/p/C8IRtpYIVOY"", ""fashion"": {""Kids Dungarees"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Kids T-shirts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
